station_id,type,latitude,longitude
1,OGS1,41.331642,-73.970187
1,OGS2,40.776642,-73.970187
2,OGS1,34.196398,-118.261862
2,OGS2,34.196398,-117.5904258330612
3,OGS1,30.412273,-94.75268663586394
3,OGS2,29.302273,-94.75268663586394
4,OGS1,41.894294,-86.89938848873336
4,OGS2,42.449294,-86.89938848873336
5,OGS1,47.490552,-121.01209471748942
5,OGS2,46.935552,-121.01209471748942
6,OGS1,37.776614,-121.68954
6,OGS2,37.221614,-121.68954
7,OGS1,33.345176,-112.49893
7,OGS2,33.345176,-111.8341314863521
8,OGS1,33.321987,-96.11797724440218
8,OGS2,33.321987,-97.43887075559782
9,OGS1,34.230687,-117.777207
9,OGS2,34.230687,-118.44454964441798
10,OGS1,33.023604,-116.776117
10,OGS2,33.023604,-116.11375418360474
11,OGS1,38.547429,-122.97439
11,OGS2,38.547429,-122.26970645365381
12,OGS1,25.061009,-81.11964030865153
12,OGS2,25.616009,-81.11964030865153
13,OGS1,33.235034,-83.7999494335591
13,OGS2,34.345034,-83.7999494335591
14,OGS1,43.036718,-71.394916
14,OGS2,42.481718,-70.64188426213515
15,OGS1,37.969672,-121.67233391304642
15,OGS2,37.414672,-122.371546
16,OGS1,30.239513,-98.33409640427605
16,OGS2,30.794513,-97.69127
17,OGS1,36.21413,-115.70272901334987
17,OGS2,35.65913,-115.014398
18,OGS1,45.006121,-94.26070324838128
18,OGS2,44.451121,-93.475228
19,OGS1,42.893551,-70.26693807587255
19,OGS2,42.338551,-71.76956792412746
20,OGS1,34.691862,-80.833832
20,OGS2,34.691862,-81.51385377679895
21,OGS1,38.349247,-77.016517
21,OGS2,39.459247,-77.73016125923398
22,OGS1,37.647139,-121.912488
22,OGS2,37.647139,-121.21109322848062
23,OGS1,32.772119,-97.95170883592526
23,OGS2,33.327119,-97.95170883592526
24,OGS1,25.638535,-81.0955958183561
24,OGS2,26.193535,-81.0955958183561
25,OGS1,27.959391,-81.323284
25,OGS2,29.069391,-80.69126251150108
26,OGS1,30.003671,-98.520147
26,OGS2,30.003671,-99.15790282748623
27,OGS1,41.222883,-112.65641629430809
27,OGS2,40.667883,-111.19206370569191
28,OGS1,27.893154,-83.00834809912443
28,OGS2,27.338154,-83.00834809912443
29,OGS1,41.190045,-73.95064
29,OGS2,40.635045,-73.95064
30,OGS1,42.105452,-82.62901726109823
30,OGS2,42.660452,-83.38421
